Name	\\pi01uz\0096_PIT_5001
Data Type	Float 32
Number of Values	87631
Time	Value	Value Attributes
29-May-2018 14:55:58.05	5.501813
29-May-2018 14:25:58.07201	5.505617
29-May-2018 13:55:58.09401	5.507518
29-May-2018 13:25:58.10101	5.508956
29-May-2018 12:56:03.09901	5.509241
29-May-2018 12:26:08.013	5.509112
29-May-2018 11:56:08.089	5.505043
29-May-2018 11:26:08.11101	5.502566
29-May-2018 10:56:13.009	5.503923
29-May-2018 10:26:13.08401	5.503668
29-May-2018 09:56:18.061	5.503448
29-May-2018 09:26:23.028	5.504301
29-May-2018 08:56:23.03401	5.501541
29-May-2018 08:26:28.01401	5.502734
29-May-2018 07:56:28.03601	5.498989
29-May-2018 07:26:33.035	5.500004
29-May-2018 06:56:33.11	5.50005
29-May-2018 06:26:38.08701	5.499685
29-May-2018 05:56:43.069	5.498804
29-May-2018 05:26:43.076	5.501001
29-May-2018 04:56:48.04301	5.500659
29-May-2018 04:26:48.08101	5.501883
29-May-2018 03:56:48.08701	5.499876
29-May-2018 03:26:53.07001	5.50034
29-May-2018 02:56:53.09201	5.502989
29-May-2018 02:26:58.00601	5.501964
29-May-2018 01:56:58.097	5.499847
29-May-2018 01:27:03.08	5.497737
29-May-2018 00:57:08.041	5.496258
29-May-2018 00:27:08.10001	5.51425
28-May-2018 23:57:13.04501	5.744833
28-May-2018 23:27:18.04401	5.746404
28-May-2018 22:57:23.04201	5.747685
28-May-2018 22:27:23.06401	5.751112
28-May-2018 21:57:28.03201	5.753646
28-May-2018 21:27:28.06902	5.756163
28-May-2018 20:57:33.02101	5.757322
28-May-2018 20:27:38.035	5.758007
28-May-2018 19:57:43.011	5.757374
28-May-2018 19:27:48.01001	5.755571
28-May-2018 18:57:48.03201	5.757972
28-May-2018 18:27:48.09201	5.757415
28-May-2018 17:57:53.037	5.75382
28-May-2018 17:27:53.09601	5.752405
28-May-2018 16:57:58.095	5.750863
28-May-2018 16:28:03.04001	5.752504
28-May-2018 15:58:03.06201	5.74543
28-May-2018 15:28:08.04501	5.744375
